_computeFunctionValue            | 6                                | TK_FUNID                         | NaN                              | <function>                       | Yes             | ------                          
------                           | -1                               | eps                              | NaN                              | <more_ids>                       | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <idList>                         | No              | <more_ids>                      
------                           | -1                               | ------                           | NaN                              | <funCallStmt>                    | No              | <outputParameters>              
------                           | -1                               | ------                           | NaN                              | <stmt>                           | No              | <funCallStmt>                   
call                             | 34                               | TK_CALL                          | NaN                              | <funCallStmt>                    | Yes             | ------                          
_computeFunctionValue            | 34                               | TK_FUNID                         | NaN                              | <funCallStmt>                    | Yes             | ------                          
parameters                       | 34                               | TK_PARAMETERS                    | NaN                              | <funCallStmt>                    | Yes             | ------                          
b5                               | 34                               | TK_ID                            | NaN                              | <idList>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <inputParameters>                | No              | <idList>                        
d5cb34567                        | 34                               | TK_ID                            | NaN                              | <idList>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <more_ids>                       | No              | <idList>                        
b3b444                           | 34                               | TK_ID                            | NaN                              | <idList>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <more_ids>                       | No              | <idList>                        
------                           | -1                               | eps                              | NaN                              | <more_ids>                       | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <idList>                         | No              | <more_ids>                      
------                           | -1                               | ------                           | NaN                              | <idList>                         | No              | <more_ids>                      
------                           | -1                               | ------                           | NaN                              | <idList>                         | No              | <more_ids>                      
------                           | -1                               | ------                           | NaN                              | <funCallStmt>                    | No              | <inputParameters>               
------                           | -1                               | ------                           | NaN                              | <otherStmts>                     | No              | <stmt>                          
------                           | -1                               | ------                           | NaN                              | <singleOrRecId>                  | No              | <otherStmts>                    
write                            | 35                               | TK_WRITE                         | NaN                              | <ioStmt>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <stmt>                           | No              | <ioStmt>                        
c3                               | 35                               | TK_ID                            | NaN                              | <singleOrRecId>                  | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <ioStmt>                         | No              | <singleOrRecId>                 
------                           | -1                               | eps                              | NaN                              | <new_24>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <singleOrRecId>                  | No              | <new_24>                        
------                           | -1                               | ------                           | NaN                              | <otherStmts>                     | No              | <stmt>                          
------                           | -1                               | ------                           | NaN                              | <otherStmts>                     | No              | <otherStmts>                    
------                           | -1                               | eps                              | NaN                              | <otherStmts>                     | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <otherStmts>                     | No              | <otherStmts>                    
return                           | 36                               | TK_RETURN                        | NaN                              | TK_CL                            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <ioStmt>                         | No              | TK_CL                           
------                           | -1                               | eps                              | NaN                              | <optionalReturn>                 | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | TK_CL                            | No              | <optionalReturn>                
------                           | -1                               | ------                           | NaN                              | <otherStmts>                     | No              | <stmt>                          
------                           | -1                               | ------                           | NaN                              | <arithmeticExpression>           | No              | <otherStmts>                    
------                           | 0                                | ------                           | NaN                              | ROOT                             | No              |                                 
------                           | -1                               | ------                           | NaN                              | <otherStmts>                     | No              | <otherStmts>                    
------                           | 0                                | ------                           | NaN                              | ROOT                             | No              |                                 
------                           | -1                               | ------                           | NaN                              | <assignmentStmt>                 | No              | TK_SEM                          
------                           | -1                               | ------                           | NaN                              | TK_ID                            | No              | <stmt>                          
------                           | -1                               | ------                           | NaN                              | <declaration>                    | No              | TK_ID                           
------                           | 0                                | ------                           | NaN                              | ROOT                             | No              |                                 
------                           | -1                               | ------                           | NaN                              | TK_ID                            | No              | <otherStmts>                    
------                           | 0                                | ------                           | NaN                              | ROOT                             | No              |                                 
------                           | -1                               | ------                           | NaN                              | <declaration>                    | No              | <global_or_not>                 
------                           | 0                                | ------                           | NaN                              | ROOT                             | No              |                                 
------                           | -1                               | ------                           | NaN                              | <declaration>                    | No              | TK_SEM                          
------                           | -1                               | ------                           | NaN                              | <stmts>                          | No              | <declarations>                  
------                           | 0                                | ------                           | NaN                              | ROOT                             | No              |                                 
------                           | -1                               | ------                           | NaN                              | <declarations>                   | No              | <declarations>                  
------                           | 0                                | ------                           | NaN                              | ROOT                             | No              |                                 
------                           | -1                               | ------                           | NaN                              | <stmts>                          | No              | <otherStmts>                    
------                           | 0                                | ------                           | NaN                              | ROOT                             | No              |                                 
------                           | -1                               | ------                           | NaN                              | <stmts>                          | No              | <returnStmt>                    
------                           | 0                                | ------                           | NaN                              | ROOT                             | No              |                                 
------                           | -1                               | ------                           | NaN                              | <stmt>                           | No              | TK_END                          
------                           | 0                                | ------                           | NaN                              | ROOT                             | No              |                                 
------                           | -1                               | ------                           | NaN                              | <conditionalStmt>                | No              | <otherStmts>                    
------                           | 0                                | ------                           | NaN                              | ROOT                             | No              |                                 
------                           | -1                               | ------                           | NaN                              | <conditionalStmt>                | No              | <elsePart>                      
------                           | -1                               | ------                           | NaN                              | <otherStmts>                     | No              | <stmt>                          
------                           | -1                               | ------                           | NaN                              | TK_CL                            | No              | <otherStmts>                    
------                           | 0                                | ------                           | NaN                              | ROOT                             | No              |                                 
------                           | -1                               | ------                           | NaN                              | <otherStmts>                     | No              | <otherStmts>                    
------                           | -1                               | ------                           | NaN                              | <arithmeticExpression>           | No              | <term>                          
------                           | 0                                | ------                           | NaN                              | ROOT                             | No              |                                 
------                           | -1                               | ------                           | NaN                              | <term>                           | No              | <termPrime>                     
------                           | -1                               | ------                           | NaN                              | <assignmentStmt>                 | No              | <arithmeticExpression>          
------                           | 0                                | ------                           | NaN                              | ROOT                             | No              |                                 
------                           | -1                               | ------                           | NaN                              | <arithmeticExpression>           | No              | <expPrime>                      
------                           | 0                                | ------                           | NaN                              | ROOT                             | No              |                                 
------                           | -1                               | ------                           | NaN                              | <assignmentStmt>                 | No              | TK_SEM                          
------                           | -1                               | ------                           | NaN                              | TK_SEM                           | No              | <stmt>                          
------                           | -1                               | ------                           | NaN                              | <assignmentStmt>                 | No              | TK_SEM                          
------                           | 0                                | ------                           | NaN                              | ROOT                             | No              |                                 
------                           | -1                               | ------                           | NaN                              | TK_SEM                           | No              | <otherStmts>                    
------                           | -1                               | ------                           | NaN                              | <declarations>                   | No              | <stmt>                          
------                           | -1                               | ------                           | NaN                              | <declarations>                   | No              | <declarations>                  
------                           | 0                                | ------                           | NaN                              | ROOT                             | No              |                                 
------                           | -1                               | ------                           | NaN                              | <declarations>                   | No              | <otherStmts>                    
------                           | 0                                | ------                           | NaN                              | ROOT                             | No              |                                 
------                           | -1                               | ------                           | NaN                              | TK_LIST                          | No              | <otherStmts>                    
------                           | 0                                | ------                           | NaN                              | ROOT                             | No              |                                 
------                           | -1                               | ------                           | NaN                              | TK_LIST                          | No              | <returnStmt>                    
------                           | 0                                | ------                           | NaN                              | ROOT                             | No              |                                 
------                           | -1                               | ------                           | NaN                              | <output_par>                     | No              | TK_SQL                          
------                           | 0                                | ------                           | NaN                              | ROOT                             | No              |                                 
------                           | -1                               | ------                           | NaN                              | <output_par>                     | No              | <parameter_list>                
------                           | 0                                | ------                           | NaN                              | ROOT                             | No              |                                 
------                           | -1                               | ------                           | NaN                              | <output_par>                     | No              | TK_SQR                          
------                           | 0                                | ------                           | NaN                              | ROOT                             | No              |                                 
------                           | -1                               | ------                           | NaN                              | <function>                       | No              | TK_SEM                          
------                           | 0                                | ------                           | NaN                              | ROOT                             | No              |                                 
------                           | -1                               | ------                           | NaN                              | <function>                       | No              | <stmts>                         
------                           | 0                                | ------                           | NaN                              | ROOT                             | No              |                                 
------                           | -1                               | ------                           | NaN                              | <function>                       | No              | TK_END                          
------                           | -1                               | ------                           | NaN                              | <program>                        | No              | <otherFunctions>                
------                           | 0                                | ------                           | NaN                              | ROOT                             | No              |                                 
------                           | -1                               | ------                           | NaN                              | <otherFunctions>                 | No              | <otherFunctions>                
------                           | -1                               | ------                           | NaN                              | ROOT                             | No              | <program>                       
------                           | 0                                | ------                           | NaN                              | ROOT                             | No              |                                 
------                           | -1                               | ------                           | NaN                              | <program>                        | No              | <mainFunction>                  
